@relation whatever

@attribute age numeric
@attribute income numeric


@data
48 , 17546.0 
40 , 30085.1 
51 , 16575.4 
23 , 20375.4 
57 , 50576.3 
57 , 37869.6 
22 , 8877.07 
58 , 24946.6 
37 , 25304.3 
54 , 24212.1 
66 , 59803.9 
52 , 26658.8 
44 , 15735.8 
66 , 55204.7 
36 , 19474.6 
38 , 22342.1 
37 , 17729.8 
46 , 41016.0 
62 , 26909.2 
31 , 22522.8 
61 , 57880.7 
50 , 16497.3 
54 , 38446.6 
27 , 15538.8 
22 , 12640.3 
56 , 41034.0 
45 , 20809.7 
39 , 20114.0 
39 , 29359.1 
61 , 24270.1 
61 , 22942.9 
20 , 16325.8 
45 , 23443.2 
33 , 29921.3 
43 , 37521.9 
27 , 19868.0 
19 , 10953.0 
36 , 13381.0 
43 , 18504.3 
66 , 25391.5 
55 , 26774.2 
47 , 26952.6 
67 , 55716.5 
32 , 27571.5 
20 , 13740.0 
64 , 52670.6 
50 , 13283.9 
29 , 13106.6 
52 , 39547.8 
47 , 17867.3 
24 , 14309.7 
36 , 23894.8 
43 , 16259.7 
48 , 29794.1 
63 , 56842.5 
52 , 47835.8 
58 , 24977.5 
28 , 23124.9 
29 , 15143.8 
34 , 25334.3 
42 , 24763.3 
65 , 36589.0 
47 , 27022.6 
20 , 11700.4 
21 , 5014.21 
42 , 17390.1 
19 , 10861.0 
41 , 34892.9 
30 , 19403.1 
31 , 10441.9 
25 , 14064.9 
21 , 8062.73 
36 , 31982.0 
58 , 23197.5 
64 , 52674.0 
59 , 35610.5 
45 , 26948.0 
61 , 49456.7 
30 , 14724.5 
58 , 34524.9 
50 , 22052.1 
30 , 27808.1 
29 , 12591.4 
35 , 16394.4 
62 , 24026.1 
36 , 31683.1 
25 , 15525.0 
66 , 22562.2 
30 , 15848.7 
54 , 31095.6 
37 , 24814.5 
28 , 25429.3 
53 , 34866.5 
61 , 42579.1 
61 , 41127.4 
18 , 9990.11 
22 , 7948.62 
34 , 30870.8 
35 , 12125.8 
18 , 15348.9 
54 , 26707.9 
27 , 11604.4 
42 , 15499.9 
43 , 33088.5 
64 , 34513.6 
43 , 32395.5 
49 , 46633.0 
23 , 13039.9 
23 , 12681.9 
30 , 24031.5 
36 , 37330.5 
34 , 25333.2 
51 , 37094.2 
36 , 33630.6 
56 , 43228.2 
54 , 47796.8 
56 , 21730.3 
26 , 10044.1 
39 , 17270.1 
64 , 45765.0 
46 , 29525.5 
62 , 54863.8 
36 , 20799.0 
35 , 33028.3 
47 , 45031.9 
47 , 39010.8 
37 , 25257.7 
48 , 42603.9 
41 , 14092.7 
27 , 21350.3 
43 , 23246.4 
61 , 41609.5 
52 , 16716.1 
64 , 36436.4 
66 , 59503.8 
53 , 31334.8 
20 , 14048.9 
57 , 39205.3 
65 , 42173.9 
64 , 55263.0 
52 , 37095.2 
47 , 22791.4 
28 , 17240.6 
64 , 48974.8 
25 , 18923.0 
58 , 51204.2 
34 , 20236.2 
20 , 18860.3 
63 , 25732.5 
30 , 28240.4 
53 , 28193.6 
43 , 36432.8 
63 , 54618.8 
33 , 24760.8 
41 , 23356.1 
20 , 8143.75 
50 , 26462.5 
24 , 20467.3 
60 , 21506.2 
44 , 15315.3 
23 , 18875.7 
40 , 12977.2 
49 , 20708.5 
21 , 7549.38 
40 , 24904.0 
26 , 24071.8 
20 , 9589.91 
24 , 8562.86 
